Date,Weight,Average_Mood,Average_Goal,Average_FQ,MJ,Love,Alcohol,Eating_Out,Weight_Change,Take_Medication,Daily_Metric,Daily_Metric_Rolling_Avg
2022-04-23,208.9,-1.0,-1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,-1.0,3.9795918367346936
2022-04-24,,-0.14285714285714285,-0.42857142857142855,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.428571428571429,3.653061224489796
2022-04-25,210.8,1.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.857142857142858,3.673469387755102
2022-04-26,207.6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,3.816326530612245
2022-04-27,206.4,0.8571428571428571,0.8571428571428571,0.0,1.0,0.0,0.0,1.0,1.0,1.0,4.714285714285714,3.816326530612245
2022-04-28,205.8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,3.9591836734693877
2022-04-29,205.2,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,7.0,4.714285714285714
2022-05-01,206.9,0.7142857142857143,-0.14285714285714285,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.5714285714285714,5.0816326530612255
2022-05-02,209.2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.591836734693878
2022-05-03,208.0,1.0,0.7142857142857143,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.714285714285714,5.571428571428571
2022-05-04,208.2,1.0,0.5714285714285714,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.571428571428571,5.081632653061225
2022-05-05,207.7,1.0,0.8571428571428571,0.0,1.0,0.0,1.0,0.0,1.0,1.0,4.857142857142858,5.1020408163265305
2022-05-06,208.2,0.8571428571428571,0.7142857142857143,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.571428571428571,4.469387755102041
2022-05-07,208.1,0.42857142857142855,-0.14285714285714285,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2.2857142857142856,3.7959183673469385
2022-05-08,,0.14285714285714285,-0.42857142857142855,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.7142857142857143,3.673469387755102
2022-05-09,209.0,0.8571428571428571,0.42857142857142855,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.2857142857142856,3.2857142857142856
2022-05-10,207.2,0.7142857142857143,0.5714285714285714,0.0,1.0,0.0,1.0,1.0,1.0,0.0,3.2857142857142856,2.9387755102040813
2022-05-11,208.0,0.7142857142857143,0.5714285714285714,0.0,0.0,1.0,1.0,1.0,0.0,0.0,4.285714285714286,3.0408163265306127
2022-05-12,208.2,0.42857142857142855,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.4285714285714286,2.5510204081632653
2022-05-13,,0.14285714285714285,0.14285714285714285,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.2857142857142856,2.3673469387755097
2022-05-14,,-1.0,-1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,-1.0,1.8979591836734695
2022-05-15,,-1.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.9387755102040816
2022-05-16,,0.42857142857142855,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2.428571428571429,1.8163265306122447
2022-05-17,209.5,1.0,0.7142857142857143,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.7142857142857144,1.8775510204081631
2022-05-18,209.1,1.0,0.5714285714285714,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.571428571428571,1.9183673469387759
2022-05-19,210.9,1.0,0.5714285714285714,0.0,1.0,1.0,1.0,1.0,0.0,1.0,3.571428571428571,2.2244897959183674
2022-05-20,211.0,1.0,0.7142857142857143,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.7142857142857144,2.4285714285714284
2022-05-22,210.3,1.0,0.5714285714285714,0.0,1.0,0.0,0.0,1.0,1.0,1.0,4.571428571428571,3.224489795918367
2022-05-23,209.7,1.0,0.8571428571428571,0.0,0.0,1.0,0.0,1.0,1.0,1.0,6.857142857142858,4.061224489795919
2022-05-24,207.2,0.8571428571428571,0.8571428571428571,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.714285714285714,4.530612244897958
2022-05-25,208.2,1.0,0.8571428571428571,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.857142857142857,4.551020408163265
2022-05-26,209.2,0.7142857142857143,0.8571428571428571,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.571428571428571,4.408163265306123
2022-05-27,208.9,0.8571428571428571,0.5714285714285714,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.428571428571429,4.673469387755103
2022-05-28,208.8,1.0,0.42857142857142855,0.0,1.0,0.0,1.0,1.0,1.0,1.0,3.428571428571429,4.775510204081633
2022-05-29,209.0,0.5714285714285714,0.42857142857142855,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,4.408163265306123
2022-05-30,209.5,0.7142857142857143,0.8571428571428571,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.571428571428571,3.9387755102040813
2022-05-31,210.3,0.7142857142857143,0.5714285714285714,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.285714285714286,3.7346938775510203
2022-06-01,211.1,1.0,0.42857142857142855,0.0,0.0,1.0,1.0,1.0,0.0,1.0,4.428571428571429,3.816326530612245
2022-06-02,209.3,1.0,0.5714285714285714,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.571428571428571,3.9591836734693873
2022-06-03,209.1,0.42857142857142855,0.42857142857142855,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2.857142857142857,3.5918367346938775
2022-06-04,210.8,0.7142857142857143,0.8571428571428571,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.571428571428571,3.612244897959184
2022-06-05,,1.0,0.42857142857142855,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.428571428571429,3.8163265306122445
2022-06-06,,1.0,0.8571428571428571,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.857142857142857,3.7142857142857144
2022-06-07,216.0,0.8571428571428571,0.42857142857142855,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.2857142857142856,3.4285714285714284
2022-06-08,216.6,0.8571428571428571,0.8571428571428571,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.7142857142857144,3.326530612244898
2022-06-09,214.8,0.5714285714285714,0.8571428571428571,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.428571428571429,3.448979591836735
2022-06-12,214.73,1.0,0.8571428571428571,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.857142857142858,3.734693877551021
2022-06-13,,1.0,0.8571428571428571,0.0,0.0,1.0,1.0,1.0,0.0,1.0,4.857142857142858,3.918367346938776
2022-06-14,216.163,0.8571428571428571,0.8571428571428571,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.7142857142857144,3.9591836734693877
2022-06-16,216.163,0.8571428571428571,0.8571428571428571,0.0,0.0,1.0,1.0,1.0,0.0,1.0,4.714285714285714,4.224489795918368
2022-06-17,215.281,1.0,0.5714285714285714,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.571428571428571,4.551020408163266
2022-06-18,215.12295,0.7142857142857143,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.714285714285714,4.836734693877552
2022-06-19,216.00414999999998,1.0,0.8571428571428571,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.857142857142857,4.612244897959184
2022-06-21,213.69099999999997,0.7142857142857143,0.8571428571428571,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.571428571428571,4.714285714285714
2022-06-22,214.90264999999997,0.8571428571428571,0.8571428571428571,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.7142857142857144,4.551020408163265
2022-06-23,212.80979999999997,0.5714285714285714,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.571428571428571,4.673469387755103
2022-06-24,216.9955,0.8571428571428571,0.8571428571428571,0.0,0.0,1.0,1.0,1.0,0.0,1.0,4.714285714285714,4.673469387755103
2022-06-25,214.90264999999997,1.0,0.8571428571428571,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.857142857142858,4.714285714285714
2022-06-26,214.90264999999997,1.0,0.8571428571428571,0.0,0.0,1.0,1.0,1.0,0.0,1.0,4.857142857142858,4.591836734693878
2022-06-27,215.89399999999998,0.8571428571428571,0.8571428571428571,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.7142857142857144,4.571428571428571
2022-06-28,216.62098999999998,0.8571428571428571,0.8571428571428571,0.0,0.0,1.0,1.0,1.0,0.0,1.0,4.714285714285714,4.448979591836735
2022-06-29,214.90264999999997,0.8571428571428571,0.8571428571428571,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.714285714285714,4.734693877551021
2022-06-30,218.20714999999998,1.0,0.8571428571428571,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.857142857142857,4.63265306122449
2022-07-01,217.21579999999997,1.0,0.8571428571428571,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.857142857142858,4.653061224489796
2022-07-02,218.0,1.0,0.8571428571428571,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.857142857142857,4.510204081632653
2022-07-03,215.7,1.0,0.7142857142857143,0.0,1.0,0.0,0.0,1.0,1.0,1.0,4.714285714285714,4.4897959183673475
